Page of the document;text
22;Develop processes for capturing and incorporating stakeholder feedback.
22;Implement procedures to monitor AI system performance and enable human intervention.
22;Establish processes and metrics for evaluating model stability over time.
22;Implement safeguards to ensure model performance is stable across groups in the intended use population.
22;Develop a strategy for engaging users about potential system impacts.
22;Define clear roles and procedures for investigating and responding to unintended outputs.
22;Develop a post-deployment monitoring plan to identify and respond to unintended system behaviors.
22;Establish responsibilities and procedures for investigating harmful or biased model outputs.
22;Implement processes for flagging, escalating, and resolving potential issues.
23;Develop guidelines and procedures for integrating human expertise into the decision-making pipeline.
23;Implement processes for challenging or appealing system outputs.
23;Consider system limitations, exceptions, and potential failure modes when developing risk mitigation strategies.
23;Develop protocols for taking systems offline if performance thresholds are exceeded.
23;Establish processes for investigating and addressing instances of unfair bias.
23;Implement safeguards and approval mechanisms for high-risk decisions.
24;Provide clear and timely notice to users about how AI systems are being used.
24;Make disclosures regarding the role of AI in consequential decision-making processes.
24;Provide users with information about the factors impacting individual determinations.
24;Prioritize transparency in high-risk use cases, but balance tradeoffs between transparency and risks to privacy or security.
24;Provide explanations of AI system outputs in plain language.
24;Provide users with mechanisms to appeal or seek redress for AI-generated determinations.
24;Enable AI system outputs to be interrogated to understand key factors and logic informing its determinations.
25;Provide users of high-risk systems explanations of key factors, confidence measures, and error rates.
25;Provide clear notices about AI use in physical spaces or user interfaces.
25;Develop terms of service that articulate permissible system uses.
25;Maintain documentation about system architecture, training data, and testing methodology.
25;Conduct privacy impact assessments to evaluate risks to individual privacy.
25;Provide mechanisms for individuals to access and correct data used to train AI systems.
25;Implement processes for individuals to challenge the accuracy of personal information and AI-generated inferences.
25;Develop policies to ensure user data is securely maintained.
26;Provide information about confidence metrics or error rates to assist users in interpreting model outputs.
26;Develop procedures for ongoing stakeholder engagement during system operation.
26;Establish procedures for investigating potentially harmful or biased system behaviors.
26;Implement safeguards to prevent the collection or use of data for undisclosed purposes.
26;Provide notice to users about system updates that may impact its performance.
26;Develop processes for sharing system performance metrics with relevant stakeholders.
26;Implement procedures for regular testing to identify and mitigate potential biases.
27;Conduct ongoing testing to evaluate performance drift and concept drift.
27;Collect disaggregated data about system performance for protected groups.
27;Document model testing procedures, methodologies and results.
27;Implement mechanisms to incorporate user and stakeholder feedback into system improvements.
27;Establish a model maintenance plan and criteria for re-training or adjusting models.
27;Document and explain changes made to models during re-training or adjustment.
