Page of the document;text
35;Use access controls to vary users' access to different levels of detail from model outputs.
35;Consider what level of detail each user requires. Can you represent data in a way that allows for a user to quickly check the system's behaviour without giving easy access to detailed output information? Disguising model outputs can be beneficial when it is done in a way that converts the information to be more easily digestible by a reader. Transforming data in this way can also be beneficial for security as it presents it in a way that is easier for 'sanity checking', therefore a user is able to detect adverse behaviour more quickly.
35;Two popular implementations of access controls are role-based access controls (RBAC) and Attribute-Based Access Control (ABAC). The most appropriate implementation of access control will depend on your security requirements.
35;For user roles that require transparency but aren't necessarily fully trusted, consider displaying information in summary or graphical format rather than allowing raw values to be accessed. If access to the values is required, can these be with lower accuracy, or provided at a slower rate (ie lower frequency of queries)?
35;Limit higher fidelity access to model outputs to authorised users in limited roles, such as trusted maintainers and developers.
36;Understand if and when you're using continual learning, and the risks associated with doing so.
36;The use of continual learning (CL) can be a crucial component in helping keep a system secure as well as performant: it allows you to dynamically tackle issues like model drift and erroneous predictions, while also creating a 'moving target' for attackers. CL can come in many forms and is not always obvious. From a security point of view, you can consider CL to be any time that your model's behaviour is affected by data collected during operation (an example would be adding a new data point to a k-nearest-neighbour algorithm during its deployment).
36;Although CL can bring important security benefits, the process of taking user input and feedback to retrain a model during operation also opens a new attack vector, as you are allowing the logic and behaviour of your model to be changed by possibly untrusted sources. Retraining on an updated dataset may cause the model's decision surface to change, causing old (potentially correct) behaviours to be lost under certain circumstances. This can lead to the model 'forgetting' certain behaviours, causing a drop in performance. An attacker could harness this to deliberately induce bias or undesirable behaviour in your model, meaning you should make sure that a retrained model still behaves how you intended.
36;CL also brings complications around protecting user privacy, as it requires collecting data directly from users. It also indirectly complicates the tracking of dataset and model updates as outlined in principle 2.5 - Requirements and development: track your assets, and makes supply chains more difficult to secure.
36;You should be aware of these risks, and have systems or processes in place to ensure users can't maliciously affect your model's behaviour. This will help mitigate the risk of adversarial manipulation from continual learning and improve confidentiality for users, as you won't be collecting data that doesn't meet your requirements.
37;When collecting data from users, use techniques to ensure the data is anonymised. This allows you to gain the advantage of collecting data while protecting users' privacy, reducing security concerns.
37;Where possible, consider processing data and training locally (on the user's device) without removing the data from the device. Updates to a model can then be shared with a central version.
37;Continual learning data collection and model retraining is an important part of your machine learning Operations (MLOps) process. An effective MLOps process should be automatic using a robust, consistent and understandable framework. This will allow the tracking of data throughout the continual learning process and give the ability to follow in the case of an error or attack such as poisoning.
37;It's important to be able to identify and manage model/concept drift, where a model may start to adjust its predictions based on new training data that may move outside of the original operating criteria, or a model may begin to degrade as the data changes and exhibits new features or concepts.
38;Ensure your engineers understand what continual learning is and the associated risks. Having developers who understand this will enable them to make sensible decisions throughout system design and development.
39;When carrying out continual learning, validate updates as if they are new models or datasets. Does your model still work in the way you would expect?
39;Once a model has been retrained, it is not the same as the old model and may well give quite different results, particularly on the edges of the old model's competence. It should therefore be treated as a new model.
39;Testing processes should be in place to prevent external interactions having a negative effect on your model's behaviour, and updates may need to be rigorously tested in the same way as the original model release. The extent of this testing should be chosen depending on the specific system, and may be lower for local updates that would affect only a single instance of a model.
39;Updates to your model and dataset should be validated, tracked and documented in the same way as they are during your development process outlined in principles 2.2 and 2.5 (Requirements and development: secure your supply chain and track your assets). This allows you to monitor for anomalous updates from continual learning manipulation. You will also be able to react to attacks, for example, by having the ability to roll back in the case of collecting poisoned or mislabelled data.
40;Design your architecture to ensure that certain performance targets are achieved before a newly updated continual learning model goes into production.
40;The process of creating CL models is likely to be automatic. It's important that this process only allows new models to enter operation when given parameters/performance is met.
40;As a part of your CL data collection and model retraining process, it's important to implement tracking and filtering of the data. Filters can be placed at check points throughout the CL data collection process for sanitising and cleaning incoming data. This can prevent your model being trained on data that is unwanted or deliberately malicious.
40;Within the pipeline, consider introducing a standard set of transformations and augmentations that will standardise an input for model retraining.
40;Specific transformations, augmentations or dictionaries can be introduced over time to minimise new adversarial risks.
40;Updates made to datasets and models during continual learning should be captured in their associated metadata created during the development stage of the lifecycle.
40;Encourage manual/human testing of models and filtering of dataset updates.
40;Where automated processes are used, consider using the tracked model metadata and parameters as an alert system. Significant divergence from the original or previous update of an asset may indicate anomalous or malicious behaviour. When a metric diverges by a given amount, a process can be triggered to request human verification.
40;During CL you're collecting new data and this should be treated as such. The same security concerns that are present during the gathering of data in the development stage are also present here.
